@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R6,8,18-19-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Score numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.212766,0.808511,0.391304,0,0.255888,0.787234,0.191489,0.5,1,0.5,1,0.212766,0.510638,0.5,0.973527,DOWN
0.659574,0.255319,0.565217,0.913043,0.449561,0.340426,0.744681,0,0.5,0,0.5,0.723404,0.319149,0.987164,0.25639,LEFT
0.510638,0.06383,0.043478,0.043478,0.092091,0.489362,0.93617,0,0.5,0,0.5,0.617021,0.06383,0.922885,0.499946,LEFT
0.510638,0.382979,0.5,0.173913,0.552548,0.489362,0.617021,0.5,0,0.5,0,0.212766,0.765957,0.284713,0.007914,UP
0.574468,0.702128,0.76087,0.956522,0.388049,0.425532,0.297872,0.5,1,0.5,1,0.702128,0.361702,0.632382,0.985293,DOWN
0.851064,0.212766,0.695652,0.434783,0.708612,0.148936,0.787234,0.5,1,0.75,0.75,0.723404,0.553191,0.01614,0.228542,DOWN
0.085106,0.595745,0.978261,1,0.904394,0.914894,0.404255,0.5,1,0.5,1,0.510638,0.744681,0.863682,0.872045,DOWN
0.574468,0.617021,0.565217,0.565217,0.564851,0.425532,0.382979,0.5,0,0.5,0,0.617021,0.553191,0.355011,0.282486,UP
0.893617,0.12766,0.891304,0.934783,0.710721,0.106383,0.87234,0.5,1,0.5,1,0.12766,0.212766,0.026368,0.894597,DOWN
0.12766,0.319149,1,0.565217,0.11775,0.87234,0.680851,0.5,1,0.5,1,0.12766,0.191489,0.5,0.934867,DOWN
0.574468,1,0.543478,0.978261,0.064675,0.425532,0,1,0.5,1,0.5,0.404255,1,0.048922,0.499946,UP
0.893617,0.574468,0.891304,0.130435,0.087873,0.106383,0.425532,0.5,0,0.5,0,0.87234,0.617021,0.373134,0.11939,UP
0.234043,0.702128,0.23913,0.73913,0.0471,0.765957,0.297872,0,0.5,0,0.5,0.276596,0.702128,0.838309,0.499946,DOWN
0.531915,0.723404,0.543478,0.73913,0.557118,0.468085,0.276596,0.5,1,0.5,1,0.829787,0.680851,0.821805,0.994978,DOWN
0.787234,0.425532,0.347826,0.26087,0.783128,0.212766,0.574468,0.5,0,0.5,0,0.212766,0.893617,0.033134,0.002686,UP
0.659574,0.106383,0.891304,0.456522,0.065378,0.340426,0.893617,1,0.5,1,0.5,0.617021,0.106383,0.161691,0.499946,RIGHT
0.148936,0.382979,0.130435,0.282609,0.215114,0.851064,0.617021,1,0.5,1,0.5,0.021277,0.276596,0.028785,0.717406,UP
0.638298,0.787234,0.73913,0.76087,0.200703,0.361702,0.212766,1,0.5,1,0.5,0.468085,0.787234,0.048922,0.499946,RIGHT
0.702128,0.468085,0.869565,0.434783,0.265729,0.297872,0.531915,1,0.5,1,0.5,0.468085,0.468085,0.034826,0.499946,RIGHT
0.553191,0.489362,0.73913,0.478261,0.752548,0.446809,0.510638,1,0.5,1,0.5,0.468085,0.914894,0.002894,0.168578,RIGHT
0.510638,0.787234,0.456522,0.152174,0.147276,0.489362,0.212766,0,0.5,0,0.5,0.574468,0.893617,0.951078,0.218052,LEFT
0.340426,0.106383,0,0.065217,0.113884,0.659574,0.893617,0,0.5,0,0.5,0.446809,0.106383,0.922885,0.499946,LEFT
0.297872,0.297872,0.304348,0.282609,0.053076,0.702128,0.702128,0.5,1,0.5,1,0.340426,0.191489,0.626866,0.943928,DOWN
0.553191,0.340426,0.521739,0.282609,0.18348,0.446809,0.659574,0.5,0,0.5,0,0.553191,0.510638,0.5,0.048917,UP
0.744681,0.510638,0.391304,0.543478,0.573286,0.255319,0.489362,1,0.5,1,0.5,0.340426,0.87234,0.006252,0.266813,RIGHT
0.531915,0.617021,0.391304,0.630435,0.047803,0.468085,0.382979,0.5,0,0.5,0,0.531915,0.659574,0.5,0.161674,LEFT
0.638298,0.957447,0.73913,0.956522,0.437961,0.361702,0.042553,1,0.5,1,0.5,0.574468,1,0.009453,0.263155,RIGHT
0.617021,0.765957,0.630435,0.673913,0.243585,0.382979,0.234043,0.5,0,0.5,0,0.723404,0.659574,0.919208,0.38964,UP
0.319149,0.765957,0.23913,0.73913,0.053076,0.680851,0.234043,1,0.5,1,0.5,0.276596,0.765957,0.161691,0.499946,RIGHT
0.851064,0.787234,0.26087,0.956522,0.686116,0.148936,0.212766,0.5,1,0.5,1,0.744681,0.574468,0.277985,0.996783,DOWN
0.765957,0.170213,0.695652,0.021739,0.189807,0.234043,0.829787,0,0.5,0,0.5,0.851064,0.085106,0.951078,0.72546,UP
0.553191,0.148936,0.521739,0.282609,0.167663,0.446809,0.851064,0.5,1,0.5,1,0.510638,0.06383,0.330846,0.950975,DOWN
0.574468,0.12766,0.891304,0.195652,0.282953,0.425532,0.87234,0.5,1,0.25,0.75,0.893617,0.234043,0.966866,0.723205,DOWN
0.340426,0.085106,0.891304,0.021739,0.263269,0.659574,0.914894,1,0.5,1,0.5,0.276596,0.425532,0.01791,0.09402,RIGHT
0.234043,0.829787,0.456522,0.847826,0.140246,0.765957,0.170213,1,0.5,1,0.5,0.085106,0.829787,0.05597,0.499946,RIGHT
0.06383,0.297872,0.043478,0.347826,0.058699,0.93617,0.702128,0.5,1,0.5,1,0.06383,0.255319,0.5,0.838218,DOWN
0.702128,0.829787,0.717391,0.608696,0.704394,0.297872,0.170213,0.5,1,0.5,1,0.808511,0.255319,0.856304,0.996558,DOWN
0.425532,0.574468,0.391304,0.369565,0.240422,0.574468,0.425532,0.5,0,0.5,0,0.425532,0.851064,0.5,0.028782,UP
0.489362,0.553191,0.391304,0.608696,0.005975,0.510638,0.446809,0.5,1,0.5,1,0.489362,0.468085,0.5,0.905872,DOWN
0.106383,0.638298,0.521739,0.978261,0.283304,0.893617,0.361702,0,0.5,0,0.5,0.191489,0.404255,0.975746,0.848789,UP
0.531915,0.361702,0.891304,0.76087,0.720562,0.468085,0.638298,0.5,1,0.5,1,0.659574,0.446809,0.899492,0.802232,DOWN
0.723404,0.382979,0.73913,0.652174,0.895606,0.276596,0.617021,1,0.5,0.75,0.25,0.851064,0.893617,0.105307,0.008646,RIGHT
0.638298,0.148936,0.021739,0.130435,0.279438,0.361702,0.851064,0,0.5,0,0.5,0.893617,0.148936,0.983298,0.113349,LEFT
0.276596,0.106383,0.26087,0.130435,0.693146,0.723404,0.893617,0,0.5,0,0.5,0.276596,0.276596,0.928524,0.206777,LEFT
0.531915,0.893617,0.369565,0.913043,0.167663,0.468085,0.106383,0.5,0,0.5,0,0.425532,0.957447,0.218076,0.048917,LEFT
0.978723,0.617021,0.869565,0.826087,0.258348,0.021277,0.382979,0.5,1,0.5,1,0.978723,0.191489,0.5,0.983192,DOWN
0.446809,0.276596,0.043478,0.521739,0.298418,0.553191,0.723404,0,0.5,0,0.5,0.574468,0.510638,0.97927,0.189863,LEFT
0.723404,0.234043,0.021739,0.130435,0.28225,0.276596,0.765957,0,0.5,0,0.5,0.851064,0.021277,0.983298,0.789894,LEFT
0.531915,0.808511,0.913043,0.869565,0.268893,0.468085,0.191489,0,0.5,0,0.5,0.489362,0.893617,0.649254,0.082081,LEFT
0.638298,0.574468,0.913043,0.021739,0.876274,0.361702,0.425532,0.5,0,0.5,0,0.680851,0.06383,0.982506,0.691264,UP
0.829787,0.574468,0.847826,0.76087,0.974692,0.170213,0.425532,0.5,0,0.5,0,0.595745,0.531915,0.074627,0.291013,UP
0.361702,0.148936,0.934783,0.804348,0.464323,0.638298,0.851064,1,0.5,1,0.5,0.255319,0.489362,0.015604,0.130922,RIGHT
0.276596,0.744681,0.130435,0.73913,0.233392,0.723404,0.255319,0.5,0,0.5,0,0.382979,0.851064,0.730665,0.038666,UP
0.723404,0.574468,0.695652,0.434783,0.697012,0.276596,0.425532,0.5,0,0.5,0,0.680851,0.191489,0.877647,0.629748,UP
0.638298,0.808511,0.913043,0.847826,0.469947,0.361702,0.191489,0.5,0,0.5,0,0.893617,0.744681,0.880597,0.137512,UP
0.702128,0.510638,0.978261,0.521739,0.396485,0.297872,0.489362,1,0.5,1,0.5,0.574468,0.574468,0.015604,0.29237,RIGHT
0.425532,0.680851,0.391304,0.369565,0.242179,0.574468,0.319149,0.5,0,0.5,0,0.468085,0.914894,0.572495,0.028782,UP
0.617021,0.702128,0.804348,0.152174,0.462917,0.382979,0.297872,1,0.5,1,0.5,0.531915,0.93617,0.012055,0.187695,RIGHT
0.319149,0.489362,0.847826,0.130435,0.079086,0.680851,0.510638,0.5,0,0.5,0,0.319149,0.553191,0.5,0.11939,UP
0.404255,0.425532,0.173913,0.434783,0.439016,0.595745,0.574468,0,0.5,0,0.5,0.680851,0.574468,0.988668,0.59391,LEFT
0.978723,0.446809,1,0.304348,0.779262,0.021277,0.553191,0.5,0,0.5,0,0.382979,1,0.103256,0.001764,UP
0.191489,0.510638,0.304348,1,0.775395,0.808511,0.489362,0,0.5,0,0.5,0.085106,0.212766,0.819514,0.575117,LEFT
0.297872,0.06383,0.043478,0.043478,0.088576,0.702128,0.93617,0,0.5,0,0.5,0.404255,0.06383,0.922885,0.499946,LEFT
0.510638,0.553191,0.847826,0.369565,0.266432,0.489362,0.446809,0.5,0,0.5,0,0.531915,0.787234,0.589552,0.022386,UP
0.914894,0.276596,0.73913,0.282609,0.710721,0.085106,0.723404,1,0.5,1,0.5,0.702128,0.957447,0.003335,0.100497,RIGHT
0.234043,0.553191,0.217391,0.23913,0.578207,0.765957,0.446809,0.5,0,0.5,0,0.659574,0.808511,0.807553,0.007914,UP
0.851064,0.212766,0.869565,0.152174,0.40246,0.148936,0.787234,0.5,0,0.5,0,0.829787,0.680851,0.373134,0.01368,UP
0.234043,0.93617,0.565217,0.913043,0.387698,0.765957,0.06383,1,0.5,1,0.5,0.191489,0.553191,0.016702,0.934867,RIGHT
