@relation snake_game-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.943728,-0.064225,1.653751,1.230166,-0.01097,1.0259,1.943728,-1.943728,-0.064225,0.064225,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.353538,1.933999,-0.378532,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.015006,1.653751,1.230166,-0.01097,0.971036,1.943728,-1.943728,0.015006,-0.015006,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.305619,1.933999,-0.299282,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.094237,1.653751,1.230166,-0.01097,0.916173,1.943728,-1.943728,0.094237,-0.094237,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.2577,1.933999,-0.220033,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.173468,1.653751,1.230166,-0.01097,0.861309,1.943728,-1.943728,0.173468,-0.173468,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.209781,1.933999,-0.140783,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.252699,1.653751,1.230166,-0.01097,0.806445,1.943728,-1.943728,0.252699,-0.252699,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.161862,1.933999,-0.061533,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.33193,1.653751,1.230166,-0.01097,0.751581,1.943728,-1.943728,0.33193,-0.33193,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.113943,1.933999,0.017716,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.411161,1.653751,1.230166,-0.01097,0.696717,1.943728,-1.943728,0.411161,-0.411161,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.066024,1.933999,0.096966,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.490392,1.653751,1.230166,-0.01097,0.641853,1.943728,-1.943728,0.490392,-0.490392,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.018105,1.933999,0.176215,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.569623,1.653751,1.230166,-0.01097,0.586989,1.943728,-1.943728,0.569623,-0.569623,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-0.970185,1.933999,0.255465,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,0.648854,1.653751,1.230166,-0.01097,0.532126,1.943728,-1.943728,0.648854,-0.648854,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-0.922266,1.933999,0.334714,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
