@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R5-6,8,23-weka.filters.unsupervised.attribute.AddExpression-Ea1-a15-NDist_tail_x-weka.filters.unsupervised.attribute.AddExpression-Ea2-a16-NDist_tail_y-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute Length numeric
@attribute Dist_tail_x numeric
@attribute Dist_tail_y numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.042553,0.468085,0.065217,0.173913,0.957447,0.531915,0.5,0,0.25,0.25,0.018868,0.037736,0.018519,0.633333,0.106383,0.148936,0.963415,0.768224,0.461538,0.40625,0.745763,UP
0.829787,0.489362,0.76087,0.413043,0.170213,0.510638,0.5,0,0.5,0,0.056604,0,0.074074,0.266667,0.808511,0.702128,0.457317,0.030199,0.230769,0.46875,0.322034,UP
0.468085,0.93617,0.195652,0.934783,0.531915,0.06383,0.5,0,0.75,0.25,0.09434,0.037736,0.12963,0.722222,0.404255,0.957447,0.192683,0.089973,0.051282,0.5,0.474576,UP
0.042553,0.829787,0.217391,1,0.957447,0.170213,0.5,0,0.5,0,0.056604,0,0.074074,0.855556,0.042553,0.914894,0.5,0.089973,0.051282,0.453125,0.423729,UP
0.680851,0.744681,0.26087,0.847826,0.319149,0.255319,0.5,0,0.5,0,0.056604,0,0.074074,0.477778,0.340426,0.744681,0.150208,0.112466,0.974359,0.703125,0.491525,UP
0.06383,0.106383,0.086957,0.021739,0.93617,0.893617,0,0.5,0,0.5,0,0.056604,0,0.422222,0.234043,0.106383,0.955285,0.499851,0.153846,0.328125,0.491525,UP
0.468085,0.510638,0.673913,0.195652,0.531915,0.489362,0.5,0,0.5,0,0.056604,0,0.074074,0.466667,0.659574,0.808511,0.696998,0.00721,0.589744,0.3125,0.254237,UP
0.617021,0.319149,0.804348,0.152174,0.382979,0.680851,0.5,0,0.5,0,0.056604,0,0.074074,0.288889,0.829787,0.404255,0.841464,0.021661,0.307692,0.296875,0.423729,UP
0,0.595745,0.021739,0.521739,1,0.404255,0.5,0,0.5,0,0.056604,0,0.074074,0.755556,0.06383,0.659574,0.739025,0.021661,0.307692,0.40625,0.440678,UP
0.808511,0.212766,0.847826,0.391304,0.191489,0.787234,0.5,0,0.5,0,0.056604,0,0.074074,0.133333,0.723404,0.425532,0.363414,0.021661,0.307692,0.515625,0.322034,UP
0.404255,0.12766,0.434783,1,0.595745,0.87234,0.5,0,0.5,0,0.056604,0,0.074074,0.3,0.404255,0.234043,0.5,0.072895,0.076923,0.453125,0.40678,UP
0.531915,0.808511,0.695652,0.021739,0.468085,0.191489,0.5,0,0.5,0,0.056604,0,0.092593,0.6,0.468085,0.87234,0.280488,0.060696,0.102564,0.5,0.440678,UP
0.468085,0.404255,0.478261,0.521739,0.531915,0.595745,0.5,0,0.5,0,0.056604,0,0.074074,0.411111,0.212766,0.617021,0.232768,0.00978,0.512821,0.640625,0.322034,UP
0.446809,0.680851,0.826087,0.282609,0.553191,0.319149,0.5,0,0.5,0,0.056604,0,0.074074,0.566667,0.702128,0.595745,0.872506,0.329069,0.769231,0.265625,0.559322,UP
0.212766,0.723404,0.717391,0.086957,0.787234,0.276596,0.5,0,0.5,0,0.037736,0.018868,0.037037,0.688889,0.276596,0.851064,0.858537,0.038739,0.179487,0.40625,0.389831,UP
0.425532,0.595745,0.478261,0.717391,0.574468,0.404255,0.5,0,0.5,0,0.056604,0,0.074074,0.533333,0.425532,0.723404,0.5,0.060696,0.102564,0.453125,0.389831,UP
0.638298,0.553191,0.608696,0.608696,0.361702,0.446809,0.5,0,0.5,0,0.056604,0,0.074074,0.4,0.638298,0.744681,0.5,0.038739,0.179487,0.453125,0.338983,UP
0.085106,0.489362,0.065217,0.26087,0.914894,0.510638,0.5,0,0.5,0,0.056604,0,0.074074,0.655556,0.085106,0.574468,0.5,0.089973,0.051282,0.453125,0.423729,UP
0.680851,0.170213,0.152174,0.608696,0.319149,0.829787,0.5,0,0.5,0,0.056604,0,0.074074,0.177778,0.446809,0.106383,0.120596,0.13931,0.615385,0.625,0.542373,UP
0.723404,0.744681,0.673913,0.565217,0.276596,0.255319,0.5,0,0.75,0.25,0.09434,0.037736,0.12963,0.488889,0.510638,0.765957,0.073171,0.030199,0.230769,0.609375,0.474576,UP
0.957447,0.574468,0.934783,0.586957,0.042553,0.425532,0.5,0,0.5,0,0.056604,0,0.092593,0.255556,0.638298,0.638298,0.095635,0.01447,0.410256,0.6875,0.440678,UP
0.191489,0.170213,0.152174,0,0.808511,0.829787,0.5,0,0.5,0,0.056604,0,0.074074,0.433333,0.489362,0.319149,0.825943,0.010793,0.487179,0.234375,0.372881,UP
0.319149,0.510638,0.347826,0.217391,0.680851,0.489362,0.5,0,0.5,0,0.037736,0.018868,0.037037,0.522222,0.425532,0.361702,0.921808,0.469713,0.358974,0.375,0.610169,UP
0.276596,0.659574,0.26087,0.478261,0.723404,0.340426,0.5,0,0.5,0,0.056604,0,0.074074,0.644444,0.276596,0.787234,0.5,0.060696,0.102564,0.453125,0.389831,UP
0.680851,0.957447,0.26087,0.847826,0.319149,0.042553,0.5,0,0.5,0,0.075472,0.018868,0.111111,0.611111,0.212766,0.829787,0.025282,0.712288,0.974359,0.796875,0.59322,UP
0.765957,0.553191,0.673913,0.695652,0.234043,0.446809,0.5,0,0.5,0,0.056604,0,0.074074,0.333333,0.702128,0.425532,0.141463,0.294912,0.692308,0.5,0.59322,UP
0.319149,0.404255,0.347826,0.217391,0.680851,0.595745,0.5,0,0.5,0,0.056604,0,0.074074,0.488889,0.425532,0.468085,0.771162,0.017642,0.358974,0.375,0.440678,UP
0.148936,0.787234,0.456522,0.630435,0.851064,0.212766,0.5,0,0.5,0,0.056604,0,0.074074,0.777778,0.148936,0.893617,0.5,0.072895,0.076923,0.453125,0.40678,UP
0.723404,0.638298,0.76087,0.608696,0.276596,0.361702,0.5,0,0.5,0,0.056604,0,0.074074,0.4,0.723404,0.744681,0.5,0.072895,0.076923,0.453125,0.40678,UP
0.93617,0.893617,0.652174,0.543478,0.06383,0.106383,0.5,0,0.75,0.25,0.09434,0.037736,0.12963,0.455556,0.87234,0.914894,0.192683,0.089973,0.051282,0.5,0.474576,UP
0.744681,0.638298,0.608696,0.608696,0.255319,0.361702,0.5,0,0.5,0,0.056604,0,0.074074,0.388889,0.723404,0.808511,0.44878,0.038739,0.179487,0.46875,0.355932,UP
0.723404,0.765957,0.673913,0.565217,0.276596,0.234043,1,0.5,1,0.5,0.113208,0.056604,0.148148,0.511111,0.489362,0.765957,0.030487,0.499851,0.230769,0.625,0.491525,UP
