@relation snake_game-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-0.557802,0.159318,-0.486008,-1.202149,-0.021125,-1.109308,-0.557802,0.557802,0.159318,-0.159318,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.446678,0.079335,0.35896,-1.479446,-0.021125,-1.281447,0.446678,-0.446678,0.079335,-0.079335,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.311162,-1.360359,-1.119733,-1.410122,-0.021125,-0.191235,-1.311162,1.311162,-1.360359,1.360359,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.111851,-1.040427,0.077304,-1.410122,-0.021125,-0.420753,0.111851,-0.111851,-1.040427,1.040427,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.446678,-0.000648,0.35896,-1.479446,-0.021125,-1.224067,0.446678,-0.446678,-0.000648,0.000648,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.394869,0.719199,-1.190147,-0.300932,-0.021125,-0.765031,-1.394869,1.394869,0.719199,-0.719199,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.702278,0.719199,1.41517,-1.132824,-0.021125,-1.453585,1.702278,-1.702278,0.719199,-0.719199,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.530385,-0.400563,0.429374,-1.271473,-0.021125,-0.765031,0.530385,-0.530385,-0.400563,0.400563,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.865211,-0.640512,0.71103,-1.410122,-0.021125,-0.707651,0.865211,-0.865211,-0.640512,0.640512,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.028145,0.079335,0.00689,-0.994175,-0.021125,-0.87979,0.028145,-0.028145,0.079335,-0.079335,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.785985,0.879165,1.485584,-0.578229,-0.021125,-1.109308,1.785985,-1.785985,0.879165,-0.879165,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.143749,0.639216,-0.978906,-0.716878,-0.021125,-1.051928,-1.143749,1.143749,0.639216,-0.639216,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.725215,0.719199,-0.626836,-1.340797,-0.021125,-1.625724,-0.725215,0.725215,0.719199,-0.719199,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.283745,0.879165,1.0631,0.253664,-0.021125,-0.420753,1.283745,-1.283745,0.879165,-0.879165,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.557802,-1.12041,-0.486008,-1.0635,-0.021125,-0.076476,-0.557802,0.557802,-1.12041,1.12041,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.729695,1.199097,-1.471803,-0.716878,-0.021125,-1.453585,-1.729695,1.729695,1.199097,-1.199097,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.697798,0.559233,0.570202,-0.370256,-0.021125,-0.707651,0.697798,-0.697798,0.559233,-0.559233,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,-0.160614,-0.415594,-1.202149,-0.021125,-0.87979,-0.474095,0.474095,-0.160614,0.160614,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.785985,0.799182,1.485584,0.322988,-0.021125,-0.305994,1.785985,-1.785985,0.799182,-0.799182,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,0.959148,-0.415594,-1.202149,-0.021125,-1.683103,-0.474095,0.474095,0.959148,-0.959148,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.729695,-0.080631,-1.471803,-1.548771,-0.021125,-1.224067,-1.729695,1.729695,-0.080631,0.080631,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
